"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","5.4471","5.5104","5.6914","5.4195","","-1.15%"
"01/01/2023","5.5104","5.6560","5.8280","5.4875","","-2.59%"
"12/01/2022","5.6571","5.3966","5.7250","5.3891","","4.86%"
"11/01/2022","5.3951","5.1207","5.7246","4.9519","","5.40%"
"10/01/2022","5.1185","5.3074","5.4362","5.0128","","-3.54%"
"09/01/2022","5.3066","5.2125","5.3193","4.9823","","1.80%"
"08/01/2022","5.2126","5.2898","5.3898","5.0110","","-1.39%"
"07/01/2022","5.2862","5.5111","5.6409","5.2382","","-4.05%"
"06/01/2022","5.5095","5.0809","5.5722","5.0592","","8.51%"
"05/01/2022","5.0776","5.2460","5.4648","5.0321","","-3.12%"
"04/01/2022","5.2411","5.2452","5.3300","4.9877","","-0.04%"
"03/01/2022","5.2432","5.7887","5.7969","5.1895","","-9.43%"
"02/01/2022","5.7889","5.9592","6.1249","5.5886","","-2.84%"
"01/01/2022","5.9581","6.3321","6.4770","5.9207","","-5.91%"
"12/01/2021","6.3323","6.3775","6.4972","6.2409","","-0.67%"
"11/01/2021","6.3753","6.5166","6.6016","6.1693","","-2.18%"
"10/01/2021","6.5172","6.3045","6.6953","6.2090","","3.39%"
"09/01/2021","6.3033","6.0831","6.3682","6.0743","","3.68%"
"08/01/2021","6.0797","6.1849","6.3917","6.0378","","-1.73%"
"07/01/2021","6.1870","5.8934","6.3046","5.8766","","5.04%"
"06/01/2021","5.8903","6.3804","6.3885","5.8444","","-7.65%"
"05/01/2021","6.3780","6.5411","6.5929","6.3000","","-2.38%"
"04/01/2021","6.5337","6.6080","6.8630","6.4465","","-1.07%"
"03/01/2021","6.6046","6.7628","7.0013","6.4761","","-2.29%"
"02/01/2021","6.7597","6.6321","6.7754","6.3883","","1.97%"
"01/01/2021","6.6293","6.3527","6.7079","6.2935","","4.52%"
"12/01/2020","6.3428","6.3604","6.4880","6.0861","","-0.27%"
"11/01/2020","6.3599","6.6950","6.7754","6.2108","","-4.94%"
"10/01/2020","6.6907","6.5772","6.7891","6.4653","","1.76%"
"09/01/2020","6.5752","6.5562","6.6523","6.1474","","0.32%"
"08/01/2020","6.5545","6.1528","6.7101","6.1121","","6.54%"
"07/01/2020","6.1523","6.1399","6.2165","5.8840","","0.22%"
"06/01/2020","6.1390","5.9214","6.1929","5.4212","","3.66%"
"05/01/2020","5.9220","6.0121","6.4966","5.7861","","-1.46%"
"04/01/2020","6.0097","5.7421","6.2046","5.5156","","4.69%"
"03/01/2020","5.7402","4.9222","5.7533","4.9222","","16.39%"
"02/01/2020","4.9318","4.7503","4.9668","4.6293","","3.83%"
"01/01/2020","4.7500","4.5068","4.7579","4.4777","","5.43%"
"12/01/2019","4.5053","4.6663","4.6873","4.4861","","-3.45%"
"11/01/2019","4.6664","4.4813","4.7127","4.4050","","4.17%"
"10/01/2019","4.4794","4.5296","4.6548","4.4056","","-1.08%"
"09/01/2019","4.5282","4.5552","4.6136","4.4038","","-0.54%"
"08/01/2019","4.5526","4.2251","4.6515","4.2045","","7.79%"
"07/01/2019","4.2236","4.3788","4.3838","4.1713","","-3.48%"
"06/01/2019","4.3760","4.3815","4.4065","4.3076","","-0.21%"
"05/01/2019","4.3850","4.3979","4.6049","4.3570","","-0.26%"
"04/01/2019","4.3964","4.4008","4.4612","4.2979","","-0.11%"
"03/01/2019","4.4013","4.2701","4.5095","4.2579","","3.20%"
"02/01/2019","4.2650","4.1709","4.2849","4.1663","","2.26%"
"01/01/2019","4.1708","4.4503","4.4820","4.1637","","-6.28%"
"12/01/2018","4.4504","4.3762","4.4967","4.3229","","1.73%"
"11/01/2018","4.3746","4.2101","4.4713","4.1961","","3.92%"
"10/01/2018","4.2094","4.7000","4.7166","4.0811","","-10.41%"
"09/01/2018","4.6986","4.7029","4.9317","4.6209","","-0.10%"
"08/01/2018","4.7035","4.3917","4.9092","4.2596","","7.09%"
"07/01/2018","4.3920","4.5170","4.6482","4.3165","","-3.02%"
"06/01/2018","4.5289","4.3539","4.6839","4.2934","","4.07%"
"05/01/2018","4.3516","4.2362","4.4412","4.2003","","2.76%"
"04/01/2018","4.2349","4.0729","4.2816","4.0396","","4.01%"
"03/01/2018","4.0716","3.9586","4.1399","3.9537","","2.89%"
"02/01/2018","3.9573","3.9550","4.0845","3.9358","","0.01%"
"01/01/2018","3.9568","3.9757","4.0028","3.8508","","-0.41%"
"12/01/2017","3.9732","3.8958","3.9847","3.8068","","2.01%"
"11/01/2017","3.8950","3.8115","3.9299","3.7543","","2.22%"
"10/01/2017","3.8104","3.7385","3.8497","3.6590","","2.04%"
"09/01/2017","3.7342","3.7483","3.7722","3.6899","","-0.37%"
"08/01/2017","3.7479","3.7023","3.8235","3.6611","","1.26%"
"07/01/2017","3.7011","3.7760","3.7862","3.6127","","-2.00%"
"06/01/2017","3.7768","3.6277","3.7938","3.6037","","4.14%"
"05/01/2017","3.6266","3.4603","3.8059","3.3992","","4.82%"
"04/01/2017","3.4600","3.3288","3.5069","3.2854","","4.02%"
"03/01/2017","3.3263","3.2882","3.4160","3.2514","","1.19%"
"02/01/2017","3.2873","3.4023","3.4069","3.2283","","-3.36%"
"01/01/2017","3.4015","3.4276","3.4639","3.3193","","-0.54%"
"12/01/2016","3.4201","3.5832","3.7348","3.3960","","-4.49%"
"11/01/2016","3.5809","3.5020","3.8066","3.4822","","2.31%"
"10/01/2016","3.4999","3.6660","3.6686","3.3776","","-4.44%"
"09/01/2016","3.6624","3.6013","3.7838","3.5754","","1.86%"
"08/01/2016","3.5955","3.6290","3.6862","3.4752","","-0.87%"
"07/01/2016","3.6271","3.5687","3.7331","3.5549","","1.68%"
"06/01/2016","3.5673","4.0181","4.0616","3.5217","","-11.22%"
"05/01/2016","4.0181","3.9313","4.1912","3.9088","","2.12%"
"04/01/2016","3.9347","4.0896","4.2342","3.8972","","-3.74%"
"03/01/2016","4.0875","4.3674","4.3772","3.9448","","-6.37%"
"02/01/2016","4.3654","4.3323","4.5567","4.2980","","0.80%"
"01/01/2016","4.3307","4.3017","4.5512","4.2818","","0.72%"
"12/01/2015","4.2998","4.0887","4.4096","4.0079","","5.25%"
"11/01/2015","4.0852","4.2524","4.2705","3.9144","","-3.73%"
"10/01/2015","4.2437","4.4160","4.5715","4.2077","","-3.82%"
